cost_bp,trade_count,final_nav,ann_return,ann_vol,sharpe,max_drawdown,win_rate,avg_gross_ret,avg_net_ret,profit_factor,avg_pred_up_proba,prob_threshold
2.0,69,0.9894963061268418,-0.010935349111827919,0.006674097322647373,-1.6384761239127783,-0.011887240089944018,0.37681159420289856,-0.000363599410071078,-0.000763599410071078,0.5042655256324501,0.7677270858389075,0.75
2.0,337,0.9742453799755242,-0.026804470707491146,0.009068304205783253,-2.9558415883751197,-0.02577888324939892,0.42729970326409494,1.348176739102213e-05,-0.00038651823260897795,0.6221066852119032,0.7151539889328462,0.7
2.0,1338,0.909404123544811,-0.09415756952015886,0.012535721287786634,-7.511140951410205,-0.09031135792774825,0.4252615844544096,4.547128430077082e-05,-0.00035452871569922927,0.5615499628161471,0.6636645631073228,0.65
2.0,1828,0.8609475923754172,-0.14436251344149376,0.016501051362420093,-8.748685781941662,-0.13851132610329464,0.39879649890590807,-9.039923584405782e-06,-0.0004090399235844058,0.49668775974604235,0.6312329301757121,0.6
2.0,2203,0.8412482732509403,-0.1647396238630009,0.021739853907126717,-7.5777705115578655,-0.15814087571017088,0.38039037675896503,8.30456298322768e-06,-0.00039169543701677233,0.501127568928652,0.6060225655362872,0.55
2.0,2619,0.7963928770796258,-0.21106409587053,0.021458911709787032,-9.8357315937074,-0.20310316053782307,0.35738831615120276,-3.401055035675533e-05,-0.0004340105503567553,0.4335582070778683,0.5805001924780998,0.5
3.0,18,0.9998804020246282,-0.00012453973271553398,0.001570817304069274,-0.07928339749817379,-0.001556436823588525,0.4444444444444444,0.0005671042390868094,-3.289576091319048e-05,0.9682523320654349,0.8162030995715723,0.8
3.0,69,0.9867675421438653,-0.013775470382527799,0.006889628126586276,-1.9994504970986542,-0.014060372706145796,0.3188405797101449,-0.000363599410071078,-0.0009635994100710781,0.4224898553175778,0.7677270858389075,0.75
3.0,337,0.9611958196240131,-0.04037485296107479,0.009430627724429715,-4.281247668857199,-0.03877892017066498,0.35311572700296734,1.348176739102213e-05,-0.0005865182326089777,0.486658475736343,0.7151539889328462,0.7
3.0,1338,0.8619855055781891,-0.14328835063210843,0.01287770883008688,-11.126851253022291,-0.13744740644932685,0.35351270553064273,4.547128430077082e-05,-0.000554528715699229,0.4028509625897339,0.6636645631073228,0.65
3.0,1828,0.8001896615679506,-0.20714705424285096,0.017029044986299438,-12.164337718850893,-0.19902943247121674,0.324945295404814,-9.039923584405782e-06,-0.0006090399235844057,0.35085974144639376,0.6312329301757121,0.6
3.0,2203,0.7702200117765812,-0.23804476132063468,0.022283421460544486,-10.682594759611847,-0.22895158118715697,0.30730821606899683,8.30456298322768e-06,-0.0005916954370167722,0.3531204097712938,0.6060225655362872,0.55
